Domain Code,Domain,Trabalho1.Area Code (FAO),Trabalho1.Area,Element Code,Element,Trabalho1.Item Code (FAO),Trabalho1.Item,Trabalho1.Year Code,Trabalho1.Year,Unit,Trabalho1.Value,Flag,Flag Description
QCL,Crops and livestock products,2,Afghanistan,5510,Trabalho1.Production,515,Apples,1961,1961,tonnes,15100,*,Unofficial figure
QCL,Crops and livestock products,2,Afghanistan,5510,Trabalho1.Production,515,Apples,1962,1962,tonnes,15100,F,FAO estimate
QCL,Crops and livestock products,2,Afghanistan,5510,Trabalho1.Production,515,Apples,1963,1963,tonnes,15100,F,FAO estimate
QCL,Crops and livestock products,2,Afghanistan,5510,Trabalho1.Production,515,Apples,1964,1964,tonnes,184a00,F,FAO estimate
QCL,Crops and livestock products,2,Afghanistan,5510,Trabalho1.Production,515,Apples,1965,1965,tonnes,20400,F,FAO estimate
QCL,Crops and livestock products,2,Afghanistan,5510,Trabalho1.Production,515,Apples,1966,1966,tonnes,22800,F,FAO estimate
QCL,Crops and livestock products,2,Afghanistan,5510,Trabalho1.Production,515,Apples,1967,1967,tonnes,27600,F,FAO estimate
QCL,Crops and livestock products,2,Afghanistan,5510,Trabalho1.Production,515,Apples,1968,1968,tonnes,27900,F,FAO estimate
QCL,Crops and livestock products,2,Afghanistan,5510,Trabalho1.Production,515,Apples,1969,1969,tonnes,28200,F,FAO estimate
